file	hasSEO	hasWellnessShell	hasEducationalBoundary	hasClinicalBoundary	hasCrisisRoute	hasButtons	hasLinks
client/src/pages/AIChatPage.tsx	true	false	true	false	false	false	false
client/src/pages/About.jsx	false	false	false	false	false	false	true
client/src/pages/AboutApproachPage.jsx	false	false	true	true	true	false	true
client/src/pages/AdaptiveCompanionPage.tsx	true	true	true	true	true	true	true
client/src/pages/Admin.jsx	true	true	true	false	false	true	true
client/src/pages/AdminLogin.jsx	false	false	false	false	false	true	false
client/src/pages/AdvancedToolsPage.tsx	true	true	true	true	true	true	true
client/src/pages/AffirmationWall.jsx	false	false	false	false	false	true	false
client/src/pages/AffirmationsPage.jsx	true	true	true	false	true	true	true
client/src/pages/AgentInteraction.jsx	true	false	true	false	true	true	true
client/src/pages/AlignmentPath.jsx	false	true	true	true	true	true	true
client/src/pages/Analytics.jsx	true	true	true	false	false	true	true
client/src/pages/Anxiety.jsx	false	false	false	false	false	false	true
client/src/pages/AtlasDashboard.tsx	false	true	true	true	true	true	true
client/src/pages/AvatarLab.jsx	false	false	false	false	true	true	true
client/src/pages/BehaviorChangePage.jsx	true	true	true	true	true	true	true
client/src/pages/BehaviorChangePage.tsx	true	true	true	true	false	true	false
client/src/pages/BiometricDashboard.jsx	true	false	true	false	true	true	true
client/src/pages/Blog.jsx	true	true	true	true	true	true	true
client/src/pages/BlogDraftViewer.jsx	false	false	false	false	false	false	true
client/src/pages/BlogEditor.jsx	true	true	true	true	false	true	true
client/src/pages/BlogIndex.jsx	true	false	true	false	false	true	true
client/src/pages/BlogPost.jsx	true	true	true	false	false	true	true
client/src/pages/BodyWellnessPage.jsx	true	true	true	true	true	true	true
client/src/pages/BoundariesPage.jsx	true	true	true	true	false	true	false
client/src/pages/BreathingExercisesPage.jsx	true	true	true	true	true	true	true
client/src/pages/CRMPage.jsx	true	true	true	true	false	true	true
client/src/pages/CalmingScenesPage.jsx	true	true	true	true	true	true	true
client/src/pages/CanvaLanding.jsx	false	false	true	false	false	false	true
client/src/pages/CelebrationFlow.jsx	true	false	true	false	true	false	true
client/src/pages/CelebrationRitual.jsx	false	false	true	false	false	true	true
client/src/pages/Challenge.jsx	true	true	true	true	true	false	true
client/src/pages/ChallengeDay.jsx	true	true	true	true	true	true	true
client/src/pages/CheckIn.jsx	true	false	true	false	true	true	true
client/src/pages/CognitiveArchitecturePage.tsx	true	true	true	true	true	true	true
client/src/pages/CognitiveToolsPage.jsx	true	true	true	true	true	false	true
client/src/pages/CoherenceLadderPage.jsx	true	true	true	true	true	true	false
client/src/pages/CollaborativeLabPage.tsx	true	true	true	true	true	true	false
client/src/pages/ComingSoon.jsx	true	false	true	false	true	false	true
client/src/pages/CommunityCircle.jsx	false	false	true	false	false	true	false
client/src/pages/CommunityFeed.jsx	true	false	true	false	false	true	true
client/src/pages/CommunityGuidelines.jsx	true	false	true	false	false	true	true
client/src/pages/CommunityHub.jsx	true	false	true	false	false	false	true
client/src/pages/CommunityPage.tsx	true	true	true	true	false	false	true
client/src/pages/Contact.jsx	true	true	true	false	false	true	true
client/src/pages/ContentAdminDashboard.jsx	true	true	true	false	false	true	true
client/src/pages/ContentIndexPage.jsx	true	true	true	true	true	true	true
client/src/pages/ContentStudioPage.tsx	true	true	true	false	false	true	true
client/src/pages/ControlDashboard.jsx	true	true	true	true	false	true	true
client/src/pages/CourseCatalog.jsx	true	false	true	false	false	true	true
client/src/pages/CreatorProfile.jsx	true	false	true	true	false	true	true
client/src/pages/CrisisResources.jsx	true	true	true	true	true	false	true
client/src/pages/DailyPracticePage.jsx	true	true	true	false	false	true	true
client/src/pages/DailyReflection.jsx	true	false	true	false	false	true	true
client/src/pages/DailyRitualPage.tsx	true	true	true	true	true	true	false
client/src/pages/DailyRoutinesPage.jsx	true	true	true	true	true	true	true
client/src/pages/DailyWisdomOraclePage.tsx	true	true	true	true	true	true	true
client/src/pages/Dashboard.jsx	true	true	true	true	true	true	true
client/src/pages/DataRetention.jsx	true	false	true	false	false	true	true
client/src/pages/Depression.jsx	false	false	true	false	false	false	true
client/src/pages/DesignDashboard.jsx	true	true	true	true	false	true	true
client/src/pages/DesignSystem.jsx	false	true	true	true	true	true	true
client/src/pages/DesignSystemV2.jsx	false	false	true	true	true	true	true
client/src/pages/DiscernmentDashboard.jsx	true	false	true	false	true	true	true
client/src/pages/Disclaimer.tsx	true	true	true	true	true	false	false
client/src/pages/EliteToolsDashboard.tsx	true	true	true	false	false	true	true
client/src/pages/EmotionalIntelligencePage.jsx	true	true	true	true	true	true	true
client/src/pages/ExamplesPage.jsx	true	true	true	true	false	true	true
client/src/pages/FAQPage.jsx	true	false	true	true	true	true	true
client/src/pages/Features.jsx	false	false	false	false	false	false	true
client/src/pages/ForgotPassword.jsx	true	true	true	true	false	true	true
client/src/pages/GlossaryPage.jsx	true	true	true	true	false	false	true
client/src/pages/GratitudePractice.jsx	true	false	true	false	false	true	true
client/src/pages/GroundingTechniquesPage.jsx	true	true	true	true	true	true	true
client/src/pages/Growth.jsx	false	false	false	false	false	false	true
client/src/pages/GrowthAnalyticsPage.tsx	true	true	true	true	true	false	true
client/src/pages/GrowthPage.jsx	true	true	true	true	false	false	true
client/src/pages/GuidedJournalingPage.tsx	true	true	true	true	true	true	true
client/src/pages/Healing.jsx	false	false	true	false	false	false	true
client/src/pages/HealingJourneysPage.jsx	true	true	true	true	false	true	true
client/src/pages/HealingLibraryPage.jsx	true	true	true	true	true	true	true
client/src/pages/HealthPage.jsx	true	true	true	true	false	false	true
client/src/pages/HowToGuidesPage.jsx	true	true	true	true	false	true	true
client/src/pages/InnerChildPage.jsx	true	true	true	true	true	true	true
client/src/pages/InsightCardsPage.tsx	true	true	true	true	true	true	true
client/src/pages/InsightsDashboard.jsx	false	false	true	false	false	true	true
client/src/pages/Invite.jsx	false	false	true	false	false	true	true
